Aircraft,AircraftType,Flight,DepartureAirportICAO,ArrivalAirportICAO,Coordenada,Altitude
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,N035138W0514746,485
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,N031459W0512626,16174
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,N022800W0505129,18995
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,N012759W0502544,18999
PR-YXC,ATR-72-600,AD4268,SBRP,SBKP,S224912W0472153,7502
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,N002520W0500452,18999
PR-AKL,ATR-72-600,AD2918,SBKP,SBML,S230037W0470750,2343
PR-YXE,ATR-72-600,AD2750,SBRF,SBMO,S080744W0345520,293
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,S003143W0493755,19000
PR-AKL,ATR-72-600,AD2918,SBKP,SBML,S225159W0475309,15409
PR-YXE,ATR-72-600,AD2750,SBRF,SBMO,S084544W0352458,13992
PR-AKJ,ATR-72-600,AD4584,SBKP,SBLO,S230040W0470746,2219
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S080748W0345519,286
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,S011643W0485259,14288
PR-AKL,ATR-72-600,AD2918,SBKP,SBML,S222715W0485806,16002
PR-YXE,ATR-72-600,AD2750,SBRF,SBMO,S092845W0355723,3173
PR-AKJ,ATR-72-600,AD4584,SBKP,SBLO,S230737W0475454,11970
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S074438W0350608,14693
PR-YXA,ATR-72-600,AD9595,SBOI,NULL,S012434W0483023,737
PR-AKL,ATR-72-600,AD2918,SBKP,SBML,S220630W0495414,3675
PR-AKJ,ATR-72-600,AD4584,SBKP,SBLO,S231030W0485819,15984
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S072346W0355048,20015
PR-AKJ,ATR-72-600,AD4584,SBKP,SBLO,S231512W0500743,15983
PR-YXT,ATR-72-600,AD9012,SBKP,SBCT,S230032W0470757,2235
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S071914W0365350,20018
PR-YXE,ATR-72-600,AD4344,SBMO,SBRF,S093042W0354718,641
PR-AKJ,ATR-72-600,AD4584,SBKP,SBLO,S231143W0511815,6254
