Aircraft,AircraftType,Flight,DepartureAirportICAO,ArrivalAirportICAO,Coordenada,Altitude
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S012944W0491253,12667
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S013702W0501107,17998
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S015054W0511419,18000
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S020325W0522043,18001
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S030219W0600241,412
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S020731W0532756,17997
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S025910W0592004,12416
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S021747W0543447,15067
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S025300W0582941,17797
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S024556W0573215,18953
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S023840W0563247,18961
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S023116W0553057,13978
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S022517W0544711,404
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S023301W0552753,12507
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S022518W0544722,448
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S023836W0562542,18005
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S021434W0540356,15150
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S024343W0573047,18009
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S020700W0531100,21000
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S015814W0521006,20996
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S014919W0510820,21005
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S014614W0500618,20997
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S013551W0490051,11472
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S080810W0345512,129
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S084648W0352512,14001
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S092930W0355339,2104
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S080825W0345507,253
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S072654W0350149,13917
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S063124W0352009,16997
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S030219W0600246,523
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S031948W0604430,13587
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S033848W0614142,18007
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S093047W0354648,600
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S054523W0352652,1532
PR-AQJ,ATR-72-600,AD4421,SBCF,NULL,S193831W0435739,2974
PR-AQJ,ATR-72-600,AD4421,SBCF,NULL,S193825W0443628,17611
PR-AQJ,ATR-72-600,AD6122,SBCF,NULL,S194104W0453712,22017
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S040012W0624623,18006
PR-AQJ,ATR-72-600,AD6122,SBCF,SBUR,S194322W0463822,22004
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S085057W0352417,13883
PR-AQJ,ATR-72-600,AD6122,SBCF,SBUR,S195332W0474422,8231
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S075839W0350258,4533
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S054613W0352150,427
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S062826W0351037,13113
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S204838W0492353,1897
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S211951W0485021,12591
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S164229W0434832,2298
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S072351W0350400,16000
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S173031W0434603,14838
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S220517W0481056,17009
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S081341W0344701,3841
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S183029W0435652,17997
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S225128W0472720,16145
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S232829W0520035,1948
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S231311W0510643,13793
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S225645W0500056,17000
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S224447W0484903,16998
PR-YXF,ATR-72-600,AD9585,SBUY,SBEG,S042117W0635026,18005
PR-YXF,ATR-72-600,AD9585,SBUY,SBEG,S044445W0645419,11406
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S045310W0652150,552
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S043743W0644523,14245
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S041823W0635057,19429
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S035758W0625341,21007
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S225541W0473537,14405
PR-AQR,ATR-72-600,AD4530,SBKP,SBML,S230009W0470829,2362
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S033824W0615905,23008
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S230034W0470754,2126
PR-AQR,ATR-72-600,AD4530,SBKP,SBML,S224752W0474847,17761
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S031756W0610206,23002
PR-AQH,ATR-72-600,AD4566,SBRF,SBKG,S080728W0345526,304
PR-AQR,ATR-72-600,AD4530,SBKP,SBML,S223210W0484452,20005
PR-YXF,ATR-72-600,AD9586,SBUY,SBEG,S030218W0600651,1308
PR-AQH,ATR-72-600,AD4566,SBRF,SBKG,S073813W0353109,13989
PR-AQR,ATR-72-600,AD4530,SBKP,SBML,S222548W0494736,8336
PR-AKJ,ATR-72-600,AD2634,SBRF,SBAR,S080728W0345526,256
PR-YXE,ATR-72-600,AD2707,SBKP,SBJV,S230017W0470817,2304
PR-AKJ,ATR-72-600,AD2634,SBRF,SBAR,S084012W0351853,12395
PR-YXE,ATR-72-600,AD2707,SBKP,SBJV,S233820W0472959,11997
PR-AKJ,ATR-72-600,AD2634,SBRF,SBAR,S092530W0355134,15978
PR-YXE,ATR-72-600,AD2707,SBKP,SBJV,S243820W0474924,12003
PR-AQH,ATR-72-600,AD4566,SBKG,SBRF,S071347W0355711,2857
PR-AQH,ATR-72-600,AD2692,SBRF,NULL,S071632W0355316,1883
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,S012234W0482822,345
PR-AKJ,ATR-72-600,AD2634,SBRF,SBAR,S101117W0363605,15987
PR-AQH,ATR-72-600,AD2692,SBRF,NULL,S074454W0351428,11001
PR-YXE,ATR-72-600,AD2707,SBKP,SBJV,S253614W0481345,12004
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,S003944W0485317,13946
PR-AQH,ATR-72-600,AD2692,SBRF,NULL,S081527W0345247,2427
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N000836W0492421,18003
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N005915W0495655,18000
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S225954W0470850,2437
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N015000W0502933,18001
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S224825W0475144,15984
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S105903W0370358,300
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S102155W0363301,12328
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N024102W0510226,18004
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S223103W0484719,19995
PR-YXE,ATR-72-600,AD2707,SBJV,SBKP,S261521W0484515,1065
PR-YXE,ATR-72-600,AD2707,SBJV,SBKP,S261349W0484722,510
PR-YXE,ATR-72-600,AD2707,SBJV,SBKP,S254021W0482625,12653
PR-YXE,ATR-72-600,AD2707,SBJV,SBKP,S244041W0480803,14996
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S093456W0355322,14991
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S221906W0495108,19994
PR-YXE,ATR-72-600,AD2707,SBJV,SBKP,S233854W0473952,14998
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S084400W0351223,13621
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S221350W0505204,13883
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N035139W0514745,378
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N033551W0513822,4928
PR-AKA,ATR-72-600,AD4063,SBDN,SBKP,S221026W0512557,1794
PR-AKA,ATR-72-600,AD4063,SBDN,SBKP,S221153W0503808,13642
PR-YXB,ATR-72-600,AD4268,SBKP,SBRP,S230006W0470834,2361
PR-AKA,ATR-72-600,AD4063,SBDN,SBKP,S221840W0493520,19853
PR-AQH,ATR-72-600,AD2750,SBRF,SBMO,S080706W0345533,327
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N031532W0512528,16203
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N022029W0510157,20961
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N012107W0503636,20954
PR-YXB,ATR-72-600,AD4268,SBKP,SBRP,S221543W0472158,14091
PR-AKA,ATR-72-600,AD4063,SBDN,SBKP,S222127W0482828,21003
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N002839W0500133,20961
PR-AQH,ATR-72-600,AD2750,SBRF,SBMO,S083406W0352530,14779
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S120429W0450004,2650
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S124711W0445158,16001
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S135007W0444627,15996
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S145604W0444522,15994
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S160248W0444416,15992
PR-AKA,ATR-72-600,AD4063,SBDN,SBKP,S225231W0472628,18599
PR-AQR,ATR-72-600,AD4530,SBML,SBAE,S221213W0495541,2419
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S170440W0444742,15992
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,S002400W0492523,20961
PR-AQH,ATR-72-600,AD2750,SBRF,SBMO,S092024W0355835,8030
PR-AQZ,ATR-72-600,AD5023,SNBR,SBCF,S180352W0444430,15998
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,S011929W0484719,8285
PR-AQR,ATR-72-600,AD4530,SBAE,SBKP,S221910W0485947,4322
PR-AQR,ATR-72-600,AD4530,SBAE,SBKP,S220917W0490425,2197
PR-YXB,ATR-72-600,AD4268,SBRP,SBKP,S212333W0474126,6411
PR-YXB,ATR-72-600,AD4270,SBRP,SBKP,S210742W0474633,2049
PR-AQH,ATR-72-600,AD4344,SBMO,SBRF,S093047W0354648,615
PR-AQR,ATR-72-600,AD4530,SBAE,SBKP,S222000W0481310,15009
PR-YXB,ATR-72-600,AD4270,NULL,PTAN,S214043W0474940,15477
PR-AQH,ATR-72-600,AD4344,SBMO,SBRF,S085230W0351351,10995
PR-AQR,ATR-72-600,AD4530,SBAE,SBKP,S225956W0471924,11891
PR-YXB,ATR-72-600,AD4270,NULL,PTAN,S224235W0472645,15998
PR-AQH,ATR-72-600,AD4344,SBMO,SBRF,S080942W0345442,562
PR-YXB,ATR-72-600,AD4270,NULL,PTAN,S230044W0470740,2202
PR-AKL,ATR-72-600,AD6174,SBCF,SBRP,S193757W0435811,2926
PR-AKL,ATR-72-600,AD6174,SBCF,SBRP,S195201W0444203,13089
PR-AKL,ATR-72-600,AD6174,SBCF,SBRP,S201903W0453046,17116
PR-AKL,ATR-72-600,AD6174,SBCF,SBRP,S205753W0462625,16013
PR-AKL,ATR-72-600,AD6174,SBCF,SBRP,S211516W0473158,8954
PR-AKL,ATR-72-600,AD6175,SBCF,NULL,S210737W0474635,2100
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S193808W0435801,3010
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S185443W0435157,15858
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S175801W0440247,19011
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S165121W0440239,8629
PR-AQJ,ATR-72-600,AD6176,SBMK,SBCF,S164229W0434837,2459
PR-AQJ,ATR-72-600,AD6176,SBMK,SBCF,S172512W0440602,14160
PR-AQJ,ATR-72-600,AD6176,SBMK,SBCF,S182225W0435437,15989
PR-AQJ,ATR-72-600,AD6176,SBMK,SBCF,S191551W0434937,12899
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S193812W0435757,2898
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S195422W0443725,14905
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S200930W0453935,15996
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S201848W0464627,16002
PR-AKL,ATR-72-600,AD6175,SBCF,NULL,S202845W0471629,14675
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S202943W0475327,15999
PR-AKL,ATR-72-600,AD6175,SBCF,NULL,S194009W0462833,15002
PR-AQJ,ATR-72-600,AD6176,SBCF,SBSR,S204259W0490030,9783
PR-AKF,ATR-72-600,AD9006,SBRF,SBJU,S080701W0345534,172
PR-AKF,ATR-72-600,AD9006,SBRF,SBJU,S075204W0354045,12707
PR-AQJ,ATR-72-600,AD6176,SBSR,SBCF,S204917W0492444,2107
PR-AQJ,ATR-72-600,AD6176,SBSR,SBCF,S205102W0484547,16835
PR-AKF,ATR-72-600,AD9006,SBRF,SBJU,S074231W0363906,17843
PR-AQQ,ATR-72-600,AD4190,SBCT,SBMG,S253133W0491044,3257
PR-AQJ,ATR-72-600,AD6176,SBSR,SBCF,S201953W0475100,19002
PR-AKF,ATR-72-600,AD9006,SBRF,SBJU,S073201W0374216,18001
PR-AQQ,ATR-72-600,AD4190,SBCT,SBMG,S245906W0495002,16967
PR-AQJ,ATR-72-600,AD6176,SBSR,SBCF,S194656W0465144,17009
PR-AKF,ATR-72-600,AD9006,SBRF,SBJU,S072101W0384729,13046
PR-AQQ,ATR-72-600,AD4190,SBCT,SBMG,S242136W0504109,16008
PR-YXB,ATR-72-600,AD4980,SBKP,SBLO,S230020W0470814,2301
PR-AQJ,ATR-72-600,AD6176,SBSR,SBCF,S190935W0455349,16998
PR-AQQ,ATR-72-600,AD4190,SBCT,SBMG,S233704W0513118,11714
PR-YXB,ATR-72-600,AD4980,SBKP,SBLO,S230622W0475242,15059
PR-YXB,ATR-72-600,AD4980,SBKP,SBLO,S231937W0484536,18003
PR-YXB,ATR-72-600,AD4980,SBKP,SBLO,S232105W0495215,16001
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S071318W0391546,1548
PR-AKA,ATR-72-600,AD4099,SBKP,SBSR,S230002W0470839,2296
PR-YXB,ATR-72-600,AD4980,SBKP,SBLO,S232328W0505733,4749
PR-YXE,ATR-72-600,AD4129,SBKP,SBMG,S230006W0470832,2460
PR-AKA,ATR-72-600,AD4099,SBKP,SBSR,S223245W0474458,13266
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S072048W0382734,16328
PR-YXE,ATR-72-600,AD4129,SBKP,SBMG,S231557W0475214,15162
PR-AKA,ATR-72-600,AD4099,SBKP,SBSR,S215003W0482631,14006
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S072826W0373211,20987
PR-YXE,ATR-72-600,AD4129,SBKP,SBMG,S231948W0485552,15997
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S073821W0363038,20985
PR-AKA,ATR-72-600,AD4099,SBKP,SBSR,S211125W0491702,12017
PR-YXE,ATR-72-600,AD4129,SBKP,SBMG,S232322W0500153,16001
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S080115W0353325,20989
PR-YXE,ATR-72-600,AD4129,SBKP,SBMG,S232450W0510748,16008
PR-AKF,ATR-72-600,AD9007,SBJU,SBRF,S081155W0345359,1330
PR-AKF,ATR-72-600,AD9095,SBRF,SBJU,S080727W0345526,231
PR-AKF,ATR-72-600,AD9095,SBRF,SBJU,S075356W0353557,12770
PR-AKF,ATR-72-600,AD9095,SBRF,SBJU,S074416W0363311,17739
PR-AKF,ATR-72-600,AD9095,SBRF,SBJU,S073307W0373820,17986
PR-AKF,ATR-72-600,AD9095,SBRF,SBJU,S072133W0384450,13708
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S071316W0391551,1507
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S072434W0382724,15601
PR-AQQ,ATR-72-600,AD4169,SBMG,SBKP,S232841W0520133,2060
PR-AQQ,ATR-72-600,AD4169,NULL,NULL,S231425W0511042,11018
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S073058W0373155,20796
PR-AKA,ATR-72-600,AD2717,SBSR,SBKP,S204841W0492356,2036
PR-AQZ,ATR-72-600,AD4421,SBMK,SBCF,S164229W0434835,2361
PR-AKA,ATR-72-600,AD2717,SBSR,SBKP,S211900W0484737,13009
PR-YXB,ATR-72-600,AD4981,SBLO,SBKP,S232013W0510712,2127
PR-YXB,ATR-72-600,AD4981,SBLO,SBKP,S231057W0501047,13002
PR-AQQ,ATR-72-600,AD4169,NULL,SBKP,S225858W0500212,11020
PR-AQZ,ATR-72-600,AD4421,SBMK,SBCF,S172949W0434330,13482
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S074041W0363057,20984
PR-AKA,ATR-72-600,AD2717,SBSR,SBKP,S220614W0480644,12996
PR-YXB,ATR-72-600,AD4981,SBLO,SBKP,S230243W0485602,12997
PR-AQQ,ATR-72-600,AD4169,NULL,SBKP,S224324W0485534,11009
PR-AQZ,ATR-72-600,AD4421,SBMK,SBCF,S183213W0433927,16000
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S075349W0352945,20986
PR-AKA,ATR-72-600,AD2717,SBSR,SBKP,S225347W0472523,12991
PR-YXB,ATR-72-600,AD4981,SBLO,SBKP,S225816W0474118,12999
PR-AQQ,ATR-72-600,AD4169,SBKP,SBKP,S224455W0474928,11020
PR-AKF,ATR-72-600,AD9096,SBJU,SBRF,S081034W0345425,777
PR-YXB,ATR-72-600,AD4981,SBLO,SBKP,S230248W0470447,3262
PR-AQQ,ATR-72-600,AD4169,SBKP,SBKP,S231012W0465555,6206
PR-YXE,ATR-72-600,AD2804,SBMG,SBCT,S232831W0520043,2116
PR-YXE,ATR-72-600,AD2804,SBMG,SBCT,S240048W0511526,14497
PR-YXE,ATR-72-600,AD2804,SBMG,SBCT,S244547W0502033,17001
PR-YXE,ATR-72-600,AD2804,SBMG,SBCT,S253252W0492042,15299
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,S012234W0482823,337
PR-YXA,ATR-72-600,AD2846,SBKP,SBRP,S225953W0470851,2475
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,S004419W0485845,14351
PR-YXA,ATR-72-600,AD2846,SBKP,SBRP,S221648W0472903,13006
PR-AQH,ATR-72-600,AD4556,SBRF,SBMO,S080720W0345528,191
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N000613W0492942,19961
PR-YXA,ATR-72-600,AD2846,SBKP,SBRP,S212149W0474201,6377
PR-YXB,ATR-72-600,AD5047,SBKP,SBAU,S230006W0470833,2513
PR-AQH,ATR-72-600,AD4556,SBRF,SBMO,S083219W0352350,12703
PR-AKF,ATR-72-600,AD4330,SBRF,SBAR,S080728W0345526,229
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N005848W0500156,19958
PR-AQQ,ATR-72-600,AD4530,SBKP,SBAE,S225953W0470850,2441
PR-YXB,ATR-72-600,AD5047,SBKP,SBAU,S223635W0480049,10018
PR-AKJ,ATR-72-600,AD2682,SBRF,SBSG,S080727W0345527,289
PR-AQH,ATR-72-600,AD4556,SBRF,SBMO,S091754W0355646,8173
PR-AKF,ATR-72-600,AD4330,SBRF,SBAR,S083444W0351932,13624
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N015138W0503420,19959
PR-AQQ,ATR-72-600,AD4530,SBKP,SBAE,S224228W0475550,13999
PR-YXB,ATR-72-600,AD5047,SBKP,SBAU,S220745W0490037,9984
PR-AKJ,ATR-72-600,AD2682,SBRF,SBSG,S072425W0350127,14458
PR-YXE,ATR-72-600,AD2804,SBCT,SBCA,S253129W0491048,3267
PR-AKF,ATR-72-600,AD4330,SBRF,SBAR,S092553W0355318,15988
PR-YXF,ATR-72-600,AD4468,SBEG,SWPI,S030218W0600248,586
PR-AQV,ATR-72-600,AD9590,SBBE,SBOI,N024348W0510621,19961
PR-AQQ,ATR-72-600,AD4530,SBKP,SBAE,S222136W0484950,7992
PR-YXA,ATR-72-600,AD2846,SBRP,SBKP,S210741W0474633,2122
PR-AKJ,ATR-72-600,AD2682,SBRF,SBSG,S063025W0351958,14989
PR-AQR,ATR-72-600,AD2667,SBKP,SBZM,S230008W0470831,2329
PR-YXE,ATR-72-600,AD2804,SBCT,SBCA,S253100W0500010,16719
PR-AKF,ATR-72-600,AD4330,SBRF,SBAR,S101343W0363823,15984
PR-YXA,ATR-72-600,AD2846,SBRP,SBKP,S215045W0474644,11998
PR-YXF,ATR-72-600,AD4468,SBEG,SWPI,S025815W0591715,15526
PR-AKJ,ATR-72-600,AD2682,SBRF,SBSG,S054539W0352520,1025
PR-AQR,ATR-72-600,AD2667,SBKP,SBZM,S222956W0462301,13005
PR-YXE,ATR-72-600,AD2804,SBCT,SBCA,S252332W0505628,20002
PR-YXA,ATR-72-600,AD2846,SBRP,SBKP,S224810W0473008,12000
PR-AQH,ATR-72-600,AD4557,SBMO,SBRF,S093042W0354712,606
PR-AQR,ATR-72-600,AD2667,SBKP,SBZM,S220719W0451233,13017
PR-YXE,ATR-72-600,AD2804,SBCT,SBCA,S251423W0520147,19999
PR-YXF,ATR-72-600,AD4468,SBEG,SWPI,S025519W0581925,18999
PR-YXF,ATR-72-600,AD4468,SBEG,SWPI,S025201W0571443,12979
PR-AQH,ATR-72-600,AD4557,SBMO,SBRF,S090053W0351320,13004
PR-AQQ,ATR-72-600,AD4540,SBAE,SBKP,S220921W0490422,2157
PR-AQR,ATR-72-600,AD2667,SBKP,SBZM,S214629W0435931,13011
PR-YXE,ATR-72-600,AD2804,SBCT,SBCA,S250440W0530732,12394
PR-AQQ,ATR-72-600,AD4540,SBAE,SBKP,S222733W0480839,10998
PR-AQH,ATR-72-600,AD4557,SBMO,SBRF,S081646W0345222,2332
PR-AKJ,ATR-72-600,AD4038,SBSG,SBRF,S054612W0352155,474
PR-AQQ,ATR-72-600,AD4540,SBAE,SBKP,S230743W0470834,8086
PR-AKJ,ATR-72-600,AD4038,SBSG,SBRF,S062343W0350624,13790
PR-YXC,ATR-72-600,AD2993,SBPA,SBNM,S295940W0511047,493
PR-YXA,ATR-72-600,AD2846,SBKP,SBRP,S225951W0470854,2433
PR-AKF,ATR-72-600,AD4330,SBAR,SBSV,S105847W0371218,2434
PR-AKF,ATR-72-600,AD4330,SBAR,SBSV,S105903W0370357,242
PR-AKF,ATR-72-600,AD4330,SBAR,SBSV,S113408W0371740,13877
PR-AKJ,ATR-72-600,AD4038,SBSG,SBRF,S071759W0345532,17984
PR-AKF,ATR-72-600,AD4330,SBAR,SBSV,S122416W0375107,15987
PR-YXC,ATR-72-600,AD2993,SBPA,SBNM,S293711W0515555,14002
PR-YXE,ATR-72-600,AD2969,SBCA,SBCT,S250019W0532944,2780
PR-YXB,ATR-72-600,AD4154,SBAU,SBKP,S212334W0494924,9997
PR-YXB,ATR-72-600,AD4154,SBAU,SBKP,S210852W0502542,1407
PR-YXB,ATR-72-600,AD5047,SBAU,NULL,S210858W0502545,1679
PR-YXB,ATR-72-600,AD5047,SBAU,NULL,S213519W0493228,11005
PR-YXA,ATR-72-600,AD2846,SBKP,SBRP,S221946W0472710,14706
PR-AKJ,ATR-72-600,AD4038,SBSG,SBRF,S081650W0344835,4794
PR-AKF,ATR-72-600,AD4330,SBAR,SBSV,S125557W0382629,2090
PR-YXC,ATR-72-600,AD2993,SBPA,SBNM,S290634W0524756,14054
PR-YXE,ATR-72-600,AD2969,SBCA,SBCT,S251355W0524145,18332
PR-YXB,ATR-72-600,AD5047,SBAU,NULL,S220943W0482946,13002
PR-YXF,ATR-72-600,AD4245,SWPI,SBEG,S024047W0564702,335
PR-YXF,ATR-72-600,AD4245,SWPI,SBEG,S024819W0573459,13776
PR-YXF,ATR-72-600,AD4245,SWPI,SBEG,S025134W0583540,18010
PR-YXE,ATR-72-600,AD2969,SBCA,SBCT,S252229W0513706,24448
PR-YXB,ATR-72-600,AD5047,SBAU,NULL,S224924W0472905,13007
PR-AQR,ATR-72-600,AD2631,SBZM,SBKP,S213037W0431008,1635
PR-AQR,ATR-72-600,AD2631,SBZM,SBKP,S212051W0434911,11830
PR-AQR,ATR-72-600,AD2631,SBZM,SBKP,S212050W0444548,16015
PR-YXF,ATR-72-600,AD4245,SWPI,SBEG,S025441W0594027,18005
PR-YXB,ATR-72-600,AD5047,SBAU,NULL,S230111W0470703,2395
PR-AQR,ATR-72-600,AD2631,SBZM,SBKP,S215243W0454132,16015
PR-YXF,ATR-72-600,AD4245,SWPI,SBEG,S030218W0600653,1320
PR-AQJ,ATR-72-600,AD5023,SNBR,SBCF,S120429W0450006,2726
PR-AQJ,ATR-72-600,AD5023,SNBR,SBCF,S124105W0444402,18208
PR-AQJ,ATR-72-600,AD5023,SNBR,SBCF,S133311W0451304,20014
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N035141W0514745,290
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N031611W0512156,15387
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N022846W0505333,20968
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N013344W0502958,20964
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N033853W0514141,3982
PR-AQV,ATR-72-600,AD9591,SBOI,SBBE,N003634W0501023,20970
PR-AQJ,ATR-72-600,AD5023,SNBR,SBCF,S143612W0452343,19999
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S193839W0435733,2827
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S190204W0433911,13109
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S180712W0432652,16906
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S170643W0431948,16992
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S160650W0431204,16993
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S150738W0430418,16989
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S140848W0425258,4518
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S141215W0424518,2023
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S140612W0420245,13011
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S134316W0410914,16991
PR-AQR,ATR-72-600,AD2631,SBZM,SBKP,S222630W0463941,12011
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S131205W0401329,17002
PR-AQZ,ATR-72-600,AD4136,SNGI,SBSV,S191945W0440551,8729
PR-YXA,ATR-72-600,AD2846,SBRP,SBKP,S212338W0474506,6821
PR-YXA,ATR-72-600,AD2846,SBRP,SBKP,S210744W0474633,2043
